question,answer
"بله درسته 
ولی خب من برم سمت یه حیطه دیگه الکی برای یه مدرک وقت تلفیه خب
اگه نری هم دیپلم زشته داشته باشی که
وااااااهی نمیدونم چیکار کنم",کدومو علاقه داری
چون ماهم چیز خاصی بهمون یاد نمیدن خودمون داریم اموزش میبینیم,"بله درسته 
ولی خب من برم سمت یه حیطه دیگه الکی برای یه مدرک وقت تلفیه خب
اگه نری هم دیپلم زشته داشته باشی که
وااااااهی نمیدونم چیکار کنم"
"یه سوال دیگه هم.داشتم 
خانواده اصرار دارن که برنامه نویسی برو دوره ببین برای دانشگاه بیا برو حیطه رشته خودت که اذیت نشی 
بنظرتون این کار درسته یا نه؟",چون ماهم چیز خاصی بهمون یاد نمیدن خودمون داریم اموزش میبینیم
"یه سوال دیگه هم.داشتم 
خانواده اصرار دارن که برنامه نویسی برو دوره ببین برای دانشگاه بیا برو حیطه رشته خودت که اذیت نشی 
بنظرتون این کار درسته یا نه؟",اره بهتر به نظرم
میخواهید برنامه‌نویس بشید؟,بله
"بعد رشته انسانی 
زیاد رشته هاش برام جالب نیست 
یعنی زیاد تنوع نداره 
اکثرا که میان تو این رشته یا برای حقوق و یا برای معلمی هست 
که من زیاد علاقه ندارم",میخواهید برنامه‌نویس بشید؟
"بعد رشته انسانی 
زیاد رشته هاش برام جالب نیست 
یعنی زیاد تنوع نداره 
اکثرا که میان تو این رشته یا برای حقوق و یا برای معلمی هست 
که من زیاد علاقه ندارم",اها که این طور
چرا رشته های انسانی نه ؟,"رشته انسانی بودم 
دانشگاه امام صادق تهران برام اومد 
تو مصاحبه رد شدم 
توان پشت کنکور موندن اصلا نداشتم"
"بعد نتونم 
چون خانواده میگن نرو این رشته چون ضعیفی 
بعد حرفشون درست در بیاد 
بیچاره شم🥲",حرف کسی برات مهم نباشه
ایشالله,چرا رشته های انسانی نه ؟
"میترسم برم بعد ریاضیشو نتونم جم کنم 
فیزیکم خو اصلا تاحالا نداشتم",نه اوکی میشه  نگران نباش
استرس چرا ؟,"میترسم برم بعد ریاضیشو نتونم جم کنم 
فیزیکم خو اصلا تاحالا نداشتم"
چون خیلییی استرس دارم دوست ندارم خدایی نکرده راه رو اشتباه برم بعد پشیمون بشم,استرس چرا ؟
چون خیلییی استرس دارم دوست ندارم خدایی نکرده راه رو اشتباه برم بعد پشیمون بشم,اره مشکل نداره
"ازاد یاسوج 
خانواده خیلی اصرار دارن بخون برا سال دیگه دولتی بیار 
ولی من گفتم نه 😬",اما دولتی سخته
"ازاد یاسوج 
خانواده خیلی اصرار دارن بخون برا سال دیگه دولتی بیار 
ولی من گفتم نه 😬",این دیگه بستگی به خودتون داره
آزاد کجا ؟,"ازاد یاسوج 
خانواده خیلی اصرار دارن بخون برا سال دیگه دولتی بیار 
ولی من گفتم نه 😬"
"واو به سلامتی 
موفق باشین ✨",ممنونم هم چنین
اخه من خودم تهرانم خیلی سخته😂😂,"واو به سلامتی 
موفق باشین ✨"
"دیگه گفتم ازاد برم 
فوقش برا ادامه کنکور بدم دیگه بقیشو دولتی باشم",آزاد کجا ؟
"شما کدوم دانشگاهین؟
ترم چندین؟",ترم پنج
نه بابا😂😂,اخه من خودم تهرانم خیلی سخته😂😂
فکر کردم دانشگاه های شریف و تهران و اصفهان مد نظرتون هست,"شما کدوم دانشگاهین؟
ترم چندین؟"
فکر کردم دانشگاه های شریف و تهران و اصفهان مد نظرتون هست,نه بابا😂😂
من میخوام برم ازاد,اوکیه ازاد
بستگی به دانشگاه هم داره کدوم دانشگاه قبول شدی د؟,من میخوام برم ازاد
"سلام وقت بخیر من یه سوال داشتم 
من رشتم انسانیه و میخوام برم سمت کامپیوتر 
الان برای ترم بهمن ماه میخوام دانشگاه برم 
یکم استرس دارم چون ریاضیم اصلااا خوب نیست و در رشته انسانی هم فیزیک نبوده کلا 
الان شما که تو این حیطه هستین کسی که ریاضیش در حد صفر بنظرتون میتونه خودشو بکشه بالا و پاس شه یا نه غیر ممکنه؟؟",بستگی به دانشگاه هم داره کدوم دانشگاه قبول شدی د؟
بله,میتونید حل کنید؟
سلام کسی این مسئله رو بلده؟با استفاده از ماژول نویسیه,بله
یا اینکه از دیباگینگ مود ران نکن,پس چه کنم
پایتون رو نصب نداری برو اکستنشنش رو بریز,دارم بابا هربار ران میکنم ولی بعد باز و بسته کردن گاهی اینطوری میشه
این ارور چیه هربار میاد,پایتون رو نصب نداری برو اکستنشنش رو بریز
ببینم اندیکارتوتو,قبلا صحبت کردیم داداش
"سلام دوستان من یه اندیکاتور دارم میخوام بهینه سازی اش کنم یه برنامه نویس کد نویس میخوام کمکم کنه لطفا برای MQL یا کد نویس های دیگه  تریدینگ ویوو هم هست ممنون میشم پیوی هم پیام بدید  تشکر خیلی ممنون پیوی


با اجازه مدیر خیلی لازم دارم خیلی ممنون میشم❤️🙏",ببینم اندیکارتوتو
چه ربطی داره خوب برنامه را اجرا کنی خودش میگه انتخاب کن تو پایتون را انتخاب کن خوب,متوجه نشدم
نه توvisaul  code افزونه Python خواستم نصب کنم نشد. ولی خودپایتون نصب کردم وباldleشروع کردم برای کد زنی مبتدی هستم.,چه ربطی داره خوب برنامه را اجرا کنی خودش میگه انتخاب کن تو پایتون را انتخاب کن خوب
Python,ضمنا هر وقت مشکل داشتی یک قانون ساده است اگر وی پی ان روشنه خاموش کن اگر خاموشه روشن کن
Python,"از خود سایت دانلود کن 

python org"
"دانلود نمیشه هیچی تو صفحه نمیاد
1ساعت گذاشتم دانلود بشه نشد",اسم افزونه
"دانلود نمیشه هیچی تو صفحه نمیاد
1ساعت گذاشتم دانلود بشه نشد",چی؟
چه خطایی میده,"دانلود نمیشه هیچی تو صفحه نمیاد
1ساعت گذاشتم دانلود بشه نشد"
"سلام داخل
Visual Studio code افزونه پایتون میخوام نصب کنم نمیشه. اینترنتم  ضعیف نیست. بنظرتون چیکارکنم",چه خطایی میده
لپتاپ اگه مدت زیادی روی حالت اسلیپ بمونه مشکلی پیش میاد؟ باید روشن کنم و درست خاموشش کنم؟,"فک نکنم 
فقط مصرف باتری و دمای لپتاپ"
"سلام دوستان چرا خط شیش اگر ماکس i بنویسیم ب ارور میخوره؟؟ 
برای (ب م م)","ببین
max(i)
به این معناست که شما می‌خواهید  بزرگترین مقدار بین یک عدد رو پیدا کنی 
که اون عدد همون خودشه و معنی نداره"
ممنون,خواهش میکنم
"فکر نکنم 
توی قسمت کسر فرمول bmi اول قد رو تقسیم بر ۱۰۰ کن که تبدیل به متر بشه بعد به توان دو برسونه",ممنون
پس کد مشکلی نداره,"فکر نکنم 
توی قسمت کسر فرمول bmi اول قد رو تقسیم بر ۱۰۰ کن که تبدیل به متر بشه بعد به توان دو برسونه"
"باید قد رو به متر وارد کنی 
چون با سانتیمتره جواب تقسیم خیلی کم میشه و این جواب رو بهت میده",پس کد مشکلی نداره
کلا هر عددی وارد میکنم خروجی به من پیرینت اولی رو میده underweight,"باید قد رو به متر وارد کنی 
چون با سانتیمتره جواب تقسیم خیلی کم میشه و این جواب رو بهت میده"
واحد ها رو درست وارد میکنی,کلا هر عددی وارد میکنم خروجی به من پیرینت اولی رو میده underweight
واحد ها رو درست وارد میکنی,اینجا شما تو کد هایی که نوشتم ایرادی میبینید
"سلام ببخشید میخواستم ببینم تو bmi کجاشو اشتباه رفتم که وزن و قد رو هرچی وارد میکنم 
you are thin and underweight 
میده",واحد ها رو درست وارد میکنی
پیوی,"سلام ببخشید میخواستم ببینم تو bmi کجاشو اشتباه رفتم که وزن و قد رو هرچی وارد میکنم 
you are thin and underweight 
میده"
"سلام دوستان 
کسی تو‌ کار برنامه نویسی پایتون هست؟ 
چندتا سوال دارم",بفرمایید
چند تا تمرین پایتون دارم کسی هست بتونه برام حلش کنه,پیوی
جادی +کتاب,چه کتابی؟
اگه دوره ای میشناسید خوب یاد بده معرفی کنید,جادی +کتاب
میخواستم بدونم با برنامه نویسی پایتون میشه کارای طراحی سایت و اکسل و ایندچیزارو‌انجام داد، چقدر زمان میبره یاد بگیریم,آره می‌شه
اگه دوره ای میشناسید خوب یاد بده معرفی کنید,سایت کد یاد و سبزلرن خوبه
"سلام دوستان 
کسی تو‌ کار برنامه نویسی پایتون هست؟ 
چندتا سوال دارم",بفرمایید
"سلام دوستان 
کسی تو‌ کار برنامه نویسی پایتون هست؟ 
چندتا سوال دارم",بپرسین همینجا کسی بلد بود میگه
"سلام دوستان 
کسی تو‌ کار برنامه نویسی پایتون هست؟ 
چندتا سوال دارم",درخدمتم
"سلام دوستان 
کسی تو‌ کار برنامه نویسی پایتون هست؟ 
چندتا سوال دارم",؟؟
چند تا تمرین پایتون دارم کسی هست بتونه برام حلش کنه,اره میتونم
"سیوم کن بیام پیویت
(ریپورتم)",سیوی
"بستگی داره چی میخای دقیق
توضیحاتش پیویم بفرست","سیوم کن بیام پیویت
(ریپورتم)"
بیا سورس و دیباگ کنم,بیا پیوی
چند در میاد؟,"بستگی داره چی میخای دقیق
توضیحاتش پیویم بفرست"
"سلام😍
کسی می‌تونه یک ربات تبچی بسازه که وارد اکانت بشه و یک بنر رو هر ثانیه به یک گروه فوروارد کنه؟
سورسش رو خودم دارم فقط کمی نیاز به دیباگ داره",بیا سورس و دیباگ کنم
"دیباگ نمیکنم
اگ میخای برات مینویسم",چند در میاد؟
"🎯 **کرکر وای فای دارم فروشی** ( `میتونی رمز هر وای فای و پیدا کنی `) **پسورد لیست هم میدم معمولا هر وای فای و باز میکنه**
🌏 با زبان **پایتون**",دیگه داداش تو گیت هاب پره نفروش که
"سلام😍
کسی می‌تونه یک ربات تبچی بسازه که وارد اکانت بشه و یک بنر رو هر ثانیه به یک گروه فوروارد کنه؟
سورسش رو خودم دارم فقط کمی نیاز به دیباگ داره","دیباگ نمیکنم
اگ میخای برات مینویسم"
سلام چطور یه تصویر با یک واترمارک پنهان  رو پیدا کنم ؟,پیوی
سلام کسی پروژه پایتون دانشجویی داره؟,بفرمایید
بله,؟؟
سلام کسی پروژه پایتون دانشجویی داره؟,بله
سلام امکانش هست توجواب این 8 تمرین کمکم کنید. توگروه هست درسته!,پی
"```number = 1
formatted_number = str(number).zfill(4)
print(formatted_number)```",دم شما گرم
چشم مزاحمت میشم,درخدمتم
سورس خواستی در خدمتم اوپن سورس نیست خودم نوشتم اکثر فایروالارو هم دور میزنه پرتکل WPA2 هم جوابه,چشم مزاحمت میشم
اره داداش میفهمم چی میگی👏🏻,سورس خواستی در خدمتم اوپن سورس نیست خودم نوشتم اکثر فایروالارو هم دور میزنه پرتکل WPA2 هم جوابه
"کسی که استفاده داره نمیخواد وای فای بانک مرکزی و بگیره😂
بعدشم دادا اینجا ایرانه خودت بهتر میدونی ...",اره داداش میفهمم چی میگی👏🏻
اره حرفت درسته معمولا همه هشتا صفرن 😂,"همسایه = 987654321
کاملا اتفاقی"
من حساب کردم بخوای همچین پسوردی رو کرک کنی ۲۱ ملیارد سال طول میکشه,"کسی که استفاده داره نمیخواد وای فای بانک مرکزی و بگیره😂
بعدشم دادا اینجا ایرانه خودت بهتر میدونی ..."
کمتر کسی این کارو میکنه,اره حرفت درسته معمولا همه هشتا صفرن 😂
وای فایی که 21 رقمه و ترکیبی از اعداد و حروبف بزرگ و کوچیکه و تعدادی کارکتر خاص هم داره رو هم میتونه کرک کنه؟,من حساب کردم بخوای همچین پسوردی رو کرک کنی ۲۱ ملیارد سال طول میکشه
وای فایی که 21 رقمه و ترکیبی از اعداد و حروبف بزرگ و کوچیکه و تعدادی کارکتر خاص هم داره رو هم میتونه کرک کنه؟,کمتر کسی این کارو میکنه
وای فایی که 21 رقمه و ترکیبی از اعداد و حروبف بزرگ و کوچیکه و تعدادی کارکتر خاص هم داره رو هم میتونه کرک کنه؟,پسورد لیست داشته باشی آره ولی اینجا ایرانه=]
"🎯 **کرکر وای فای دارم فروشی** ( `میتونی رمز هر وای فای و پیدا کنی `) **پسورد لیست هم میدم معمولا هر وای فای و باز میکنه**
🌏 با زبان **پایتون**",وای فایی که 21 رقمه و ترکیبی از اعداد و حروبف بزرگ و کوچیکه و تعدادی کارکتر خاص هم داره رو هم میتونه کرک کنه؟
برای آموزش درگوگل که دریوتیوب گذاشتین. این آدرس سایت گوگل چون آدرس های زیادی درجستجو میاد.,
کسی کد ویژن مسلط هست,مشکلتون چیه ؟ درخدمتم
"سلام دوستان وقتتون بخیر 
دوستان اگر بخوایم در پایتون اعداد به صورت 0001 و 0002 و 0003 و ... نمایش داده بشن باید چکار کنیم؟","```number = 1
formatted_number = ""{:04d}"".format(number)
print(formatted_number)```"
"سلام دوستان وقتتون بخیر 
دوستان اگر بخوایم در پایتون اعداد به صورت 0001 و 0002 و 0003 و ... نمایش داده بشن باید چکار کنیم؟","```number = 1
formatted_number = str(number).zfill(4)
print(formatted_number)```"
شاید شماره کارت مامانشه,نمیدونم دیگه
"هر یک ثانیه اشتباه
فروارد کردنم اشتباه

به این باتت بهتره بگی سندر",چی؟
"یه اکانت هست مدتی با مشخصات فیک یه پسر دانیال فعالیت داشت الان عوض کرده مشخصات دختر گذاشته
دزده پولو میگیره کارو بهتون تحویل نمیده 
هرچند در اصل دختره چون شماره حسابی که میده به اسم دختره
حواستون باشه گول این دزد رو نخورید

الان  ایدی جدیدش اینه

Mlphfy",شاید شماره کارت مامانشه
,نمیدونم چرا ادمین های محترم این دزد رو از گروه ریمو نمیکنن؟!🤔
,"این اکانت دزده
مراقب باشید پول بهش واریز نکنید
چون بعدش بلاکتون میکنه و کارتونو انجام نمیده"
"سلام😍
کسی می‌تونه یک ربات تبچی بسازه که وارد اکانت بشه و یک بنر رو هر ثانیه به یک گروه فوروارد کنه؟
سورسش رو خودم دارم فقط کمی نیاز به دیباگ داره","هر یک ثانیه اشتباه
فروارد کردنم اشتباه

به این باتت بهتره بگی سندر"
به صورت دیفالت باید فعال باشه اگه نبود برو اکستنشن پایتون و pylance رو نصب کن,ممنون
"سلام دوستان من تازه پایتون رو دارم یاد میگیرم میخاستم ببینم چطور میشه کدی که مینویسم اگر اشتباه باشه غلط باشه قبل از ران کردن کد زیرش یه خط قرمز  میکشه رو فعال کنم؟
و اینکه چطور میشه Lightbulb رو فعال کرد",به صورت دیفالت باید فعال باشه اگه نبود برو اکستنشن پایتون و pylance رو نصب کن
"سلام دوستان من یه اندیکاتور دارم میخوام بهینه سازی اش کنم یه برنامه نویس کد نویس میخوام کمکم کنه لطفا برای MQL یا کد نویس های دیگه  تریدینگ ویوو هم هست ممنون میشم پیوی هم پیام بدید  تشکر خیلی ممنون پیوی


با اجازه مدیر خیلی لازم دارم خیلی ممنون میشم❤️🙏",ببینم
یادش بخیر می خواستم مرورگر غیرمتمرکز بسازم دیدم کار من نیست البته با ادغام موتورجستجوی غیرمتمرکز,"می خواستم مرورگر غیرمتمرکز بسازم البته با ادغام موتورجستجوی غیرمتمرکز از شبکه icp موتورجستجوی Querio حریم خصوصی از ii  
DecideAIUses تشخیص کاربر واقعی
 هوش مصنوعی بر پایه بلاکچین 
شاید شما اجراش کردید"
گفتم که,آها باهمدیگ هستن ببخشید
چطوری میشه فعال کرد اونو؟,گفتم که
شاید,چطوری میشه فعال کرد اونو؟
فعال باشه بدردم میخوره؟,شاید
"داخل cmd این رو بزن 
بعدش اینتر بزن",فعال باشه بدردم میخوره؟
"داخل cmd این رو بزن 
بعدش اینتر بزن",Lightbulb روهم میخاستم فعال کنم بلد نیستم
"داخل cmd این رو بزن 
بعدش اینتر بزن",دستتون درد نکنه
این رو تو تنظیمات باید فعال کرد؟,"داخل cmd این رو بزن 
بعدش اینتر بزن"
pip install pylint,این رو تو تنظیمات باید فعال کرد؟
البته اگه وی اس کد داری؟,بله
pip install pylint,البته اگه وی اس کد داری؟
"سلام دوستان من تازه پایتون رو دارم یاد میگیرم میخاستم ببینم چطور میشه کدی که مینویسم اگر اشتباه باشه غلط باشه قبل از ران کردن کد زیرش یه خط قرمز  میکشه رو فعال کنم؟
و اینکه چطور میشه Lightbulb رو فعال کرد",pip install pylint
"سلام کسی این سوالو بلده.
کدی بنویسید که نام و معدل تعدادی دانشجو را از ورودی دریافت کرده و در قالب دیکشنری ذخیره کند.سپس عناصر دیکشنری را نمایش دهید",همش
"سلام کسی این سوالو بلده.
کدی بنویسید که نام و معدل تعدادی دانشجو را از ورودی دریافت کرده و در قالب دیکشنری ذخیره کند.سپس عناصر دیکشنری را نمایش دهید",کجاشو مشکل داری؟
"سلام کسی این سوالو بلده.
کدی بنویسید که نام و معدل تعدادی دانشجو را از ورودی دریافت کرده و در قالب دیکشنری ذخیره کند.سپس عناصر دیکشنری را نمایش دهید",پی وی
"سلام کسی این سوالو بلده.
کدی بنویسید که نام و معدل تعدادی دانشجو را از ورودی دریافت کرده و در قالب دیکشنری ذخیره کند.سپس عناصر دیکشنری را نمایش دهید",پی
"سلام دوستان وقتتون بخیر 
ببخشید اینجا کسی میتونه راهنمایی م کنه 
یه نمودار میله ای (Bar Chart) رسم کردم که مناسب رسم نشده یعنی بعضی پارامترها بر خروجی تاثیر ندارند درحالیکه باید همه پارامترها موثر باشند",کدشو بفرس
چرا کد به این کد به این ساده ای کار نمیکنه؟,int بکنی باید
توی همین دوره چند تا پروژه هم داره که کار میکنن,"وقتی مقدمات رو یاد گرفتی
دیگه دیدن اون دوره اضافه کاریه"
"بلدم الان مقدماتی رو کامل
 دارم پیشرفته رو یاد میگیرم",توی همین دوره چند تا پروژه هم داره که کار میکنن
خب باید اول یادبگیری یا نه؟,"بلدم الان مقدماتی رو کامل
 دارم پیشرفته رو یاد میگیرم"
من از دوستام شنیدم که دوره سایت سون لرن رو دیدن اگه میخوای لینکشو ازشون بگیرم برات بفرستم ؟,اون پولیه ولی دارمش اونم
"سی شارپ یونیتی کلا چیه
بخش سرور مربوط به چیه","چرا نمیری کپسول بازی سازی ببینی با 160 تومن ؟ باهاش راحت میتونی اطلاعات اولیه دوره بازی سازی رو نگاه کنی راحت و بفهمی چی به چیه و بعد تصمیمی بگیری 
اگه میخوای پیام بده بگو تا لینکشو بدم بهت"
"دوستانی که حرفه ای پایتون بلدند
چجوری یا گرفتید؟
منابعتون چی بوده
چجوری رفتین جلو",من از دوستام شنیدم که دوره سایت سون لرن رو دیدن اگه میخوای لینکشو ازشون بگیرم برات بفرستم ؟
,باید اخر شرطت else باشه نه elif
int(),اوکی ممنون
"داداش اینی که نوشتی اصن نیومدی قاعده براش بزاری
که تو اون رشته اگر به غیر از عدد بود رو نریزه تو لیستت
بعدشم باید هر کدوم رو تبدیل بزنی به عدد صحیح چون رشتن",ارع می‌دونم اشتباهه ولی نمیدونم چجوری اصلاحش کنم
بچه ها وقتی ی لیست دریافت کن و ماکس اون رو چاپ کن چجوری باید بنویسمش؟,"داداش اینی که نوشتی اصن نیومدی قاعده براش بزاری
که تو اون رشته اگر به غیر از عدد بود رو نریزه تو لیستت
بعدشم باید هر کدوم رو تبدیل بزنی به عدد صحیح چون رشتن"
,بچه ها وقتی ی لیست دریافت کن و ماکس اون رو چاپ کن چجوری باید بنویسمش؟
برنامه نویس پایتون حرفه‌ای لازم دارم,سلام سوالتون چی هست؟
برنامه نویس پایتون حرفه‌ای لازم دارم,درخدمتم
,ورودی هیجوقت برابر با ۱ نمیشه چون به صورت استرینگه
چرا کد به این کد به این ساده ای کار نمیکنه؟,اینپوت رشتس
سایتی چیزی نمیشناسی؟,من نه الان چیزی حضور ذهن ندارم
,چرا کد به این کد به این ساده ای کار نمیکنه؟
"خودت باید برا خودت تمرین گیر بیاری
مثلا از چیزایی که الان وجود داره سعی کنی شبیهشو بسازی

و لازم نیس حتما برا کارفرما کار کنی
باید خودت تمرین کنی
چون بخش مهم یادگیری موقع پروژه زدنه و همین ماهرت میکنه",سایتی چیزی نمیشناسی؟
پروژه از کجا گیر بیارم؟,"خودت باید برا خودت تمرین گیر بیاری
مثلا از چیزایی که الان وجود داره سعی کنی شبیهشو بسازی

و لازم نیس حتما برا کارفرما کار کنی
باید خودت تمرین کنی
چون بخش مهم یادگیری موقع پروژه زدنه و همین ماهرت میکنه"
دیگه شروع کن به پروژه زدن,مقدماتی رو بلدم ولی یعنی خیلی پیشرفته رو فقط تا کلاس و نمودار بلدم مباحث ابتدایی هم بلدم و متود هارو هم دارم کم کم یاد میگیرم برای هر دیتا تایپی
من الان مقدماتی پایتون رو با تمرین و سایت finca خوندم با کمی پیشرفته اش با چت جی پی تی هم تمرین میکنم چ منابعی پیشنهاد میدی؟ با توجه به سطحم,دیگه شروع کن به پروژه زدن
"یوتیوب 
چت جی پی تی
تلاش
علاقه",من الان مقدماتی پایتون رو با تمرین و سایت finca خوندم با کمی پیشرفته اش با چت جی پی تی هم تمرین میکنم چ منابعی پیشنهاد میدی؟ با توجه به سطحم
"دوستانی که حرفه ای پایتون بلدند
چجوری یا گرفتید؟
منابعتون چی بوده
چجوری رفتین جلو","یوتیوب 
چت جی پی تی
تلاش
علاقه"
تابع eval چیکار میکنه,"یه کد که استرینگه رو اجرا میکنه
حواست باشه خیلی خطرناکه استفاده کردنش توی کد
باید مطنئن باشی ورودی کاربر به این سمت نره"
"دوستانی که حرفه ای پایتون بلدند
چجوری یا گرفتید؟
منابعتون چی بوده
چجوری رفتین جلو",ادمین اگه میشه پین کن ممنون
پس حالاکه پایتون نصب کردم دوباره نشده میتونم ازidleشروع کنم به یادگیری. باvscod,همین محیطی که عکس دادی خودش idle هست که با خود پایتون نوشته شده با همون تکینتر آره میشه یاد بگیری اتفاقا بهترم هست
کدنویسی توcmd نمیشه اگه این جا کدنویسی انجام بدیم هم میشه اصلا میشه یکی فرق این دوروبگه,ببین محیط شل یه محیط کد زنی ساده هست محیط IDE پیشرفته تره ینی ابزار های بیشتری داره
نسخه 3.12.8پایتون نصب کردم واین جا کدنویسی میشه انجام داد ولی تویcmdنمیشه,کدنویسی توcmd نمیشه اگه این جا کدنویسی انجام بدیم هم میشه اصلا میشه یکی فرق این دوروبگه
اوکی این فعلاواسه اولش خوب یاد بگیرم یا و اول اعداد یادبگیرم,"اصلا اینا چیزی نداره ک روش بمونی
اینارو هعیرجلو تر استفاده میکنی 
اصلا جیز خاصی نداره
مثلا الان فقط بدون چند روش میشه استرینگارو ادغام کرد و اینا کافیه برو مبحث بعدی"
اوکی این فعلاواسه اولش خوب یاد بگیرم یا و اول اعداد یادبگیرم,داداش رو چه اموزشی داری پیش میری؟خیلی پشتکارت خوبه.بیا پی کمکت کنم.خوشم اومد از پشتکارت
من هم دوباره نصب کردم پایتون ولی بازهم توی cmd نشون نمیده وهمون پیام قبلی میاد. چیکارکنم؟,.
"این سوال برا منم پیش اومده 
 ادرس پایتونا من تو path اضافه کردم اما بازم تو cmd پایتونا نمیاره چرا؟؟",هم پوشه رو اضافه کنید هم فایل
"fName='raman'
lName='eshghi'
fullName=f'{fName} {lName}'
print(fullName)",این سینتکس اف استرینگ رو یاد بگیرین
دوستان سلام این روخوب یادبگیرم ازشون یان,"fName='raman'
lName='eshghi'
fullName=f'{fName} {lName}'
print(fullName)"
"این سوال برا منم پیش اومده 
 ادرس پایتونا من تو path اضافه کردم اما بازم تو cmd پایتونا نمیاره چرا؟؟",من هم دوباره نصب کردم پایتون ولی بازهم توی cmd نشون نمیده وهمون پیام قبلی میاد. چیکارکنم؟
خب چه موقع باید ازش استفاده کنیم,زمانی که میخای از تابع یه نتیجه ای برگردونده شه
هعی کامپیوتر ادما پیر میکنه🥲😂,آدم
,وقتی کد رو کامل میزنی باید کنترل s بزنی تا کار کنه کدت
اونجا ی تیک برای run in terminal داره,خیلی ممنون
میخام از حالت پیش فرض تغییر بدم چیکار باید بکنم؟,تو تنظیمات setting تو تب کدرانر برین
افزونه کدرانر پیش فرض تو output خروجی میده اگه میخواین تو ترمینال خروجی بده اون فلش کنارش بزنین زده run in terminal,میخام از حالت پیش فرض تغییر بدم چیکار باید بکنم؟
,افزونه کدرانر پیش فرض تو output خروجی میده اگه میخواین تو ترمینال خروجی بده اون فلش کنارش بزنین زده run in terminal
حتما به فکر باش,ممنون بابت راهنمایی تون.
به نظر شما با این سیستم من باید به فکر لب تاپ باشم در اینده,حتما به فکر باش
"نه مدلش 
i5 . i3 ?",حتما پیگیر میشم و به شما میگم اطلاعاتم دقیق نیست
مشخصات؟,رام8
مشخصات؟,سی پی یو کامپیوتر من اینتل هست
"بعد از طرفی این چیزی که میخوای شدنیه منتها باید visual studio اصلی رو نصب کنی 
البته اگه سیستمت قویه پیشنهاد میکنم اگر نه که هیچی",به نظر شما با این سیستم من باید به فکر لب تاپ باشم در اینده
"بعد از طرفی این چیزی که میخوای شدنیه منتها باید visual studio اصلی رو نصب کنی 
البته اگه سیستمت قویه پیشنهاد میکنم اگر نه که هیچی",نه سیستم من مال ده سال پیشه
خیلی ممنون ذهنم خیلی درگیرش شده بود,"بعد از طرفی این چیزی که میخوای شدنیه منتها باید visual studio اصلی رو نصب کنی 
البته اگه سیستمت قویه پیشنهاد میکنم اگر نه که هیچی"
نه دیگه دارم میگم خب این همون cmd ویندوزه,خیلی ممنون ذهنم خیلی درگیرش شده بود
اون ترمینال داخل vscode همون پنجره ترمینال cmd هستش,"پس تو اون خروجی نمیاد؟
کارایش چیه"
Vscode ترمینال داخلی داره,یعنی مشکلی نیس
"آها تو ترمینال cmd منظورته
یعنی میگی چرا خروجی کد رو چرا داخل یه پنجره جداگونه اجرا نمیکنه؟",بله
میتونی یه اسکرین از اروری که میده بدی,"الان میفرستم
ارور نمیده که 
کد رو ران میکنم تو ترمینال هیچ اتفاقی نمی افته ولی تو output میبینم ک خروجی کد اومده"
افزونه python برای vscode هم نصب کردید؟,بله اصلی رو هم نصب کردم
"سلام من تازه پایتون رو نصب کردم برای شروع به یادگیری. تمام مراحلشو درست رفتم تیک های مهم رو فعال کردمpipوpath 
حتی در cmd پایتون رو مینویسم میگ ک رو پی سی نصبه فقط یه مشکل هست
وقتی که در vscode کد مینویسم ب محظ اینک ران میکنم outputخروجی میدهد ولی در terminal خروجی نمیدهد",افزونه python برای vscode هم نصب کردید؟
ویندوزه دگ,"سلام من تازه پایتون رو نصب کردم برای شروع به یادگیری. تمام مراحلشو درست رفتم تیک های مهم رو فعال کردمpipوpath 
حتی در cmd پایتون رو مینویسم میگ ک رو پی سی نصبه فقط یه مشکل هست
وقتی که در vscode کد مینویسم ب محظ اینک ران میکنم outputخروجی میدهد ولی در terminal خروجی نمیدهد"
هعی کامپیوتر ادما پیر میکنه🥲😂,ویندوزه دگ
هعی کامپیوتر ادما پیر میکنه🥲😂,Unistall کن از اول نصب کن بهتره
,اره درسته
از اون قسمتی که دوستمون عکس داد شماهم بفرست,
یکی,از اون قسمتی که دوستمون عکس داد شماهم بفرست
یکی,پس مشکل یه چی دیگس
چندتا ورژن پایتون نصب کردی؟,یکی
"pip
زدم اونا ران میکنه اما پایتونا ن",چندتا ورژن پایتون نصب کردی؟
"دوتا مسیر باید اضافه شه یکی خود python.exe
و یکی دیگه ام 
Scripts","pip
زدم اونا ران میکنه اما پایتونا ن"
"این سوال برا منم پیش اومده 
 ادرس پایتونا من تو path اضافه کردم اما بازم تو cmd پایتونا نمیاره چرا؟؟","دوتا مسیر باید اضافه شه یکی خود python.exe
و یکی دیگه ام 
Scripts"
برو مسیر پوشه scripts پایتون رو دربیار و آدرسشو اضافه کن اینجا,"این سوال برا منم پیش اومده 
 ادرس پایتونا من تو path اضافه کردم اما بازم تو cmd پایتونا نمیاره چرا؟؟"
ویدیو راهنمای نصب همین چنل داره تو یوتیوبش ببین مشکلت حل میکنه,🙏
"خیلی ممنون که راهنماییم کردی
دوباره نصبش میکنم. 🙏",قربانت
